Header,Description,Example
freedgo_jpg.rf.0c31096185435ee0635651859def17fa,"{""actors"": [], ""use_cases"": [], ""system_boundary"": {}, ""relationships"": [], ""overall_description"": """"}",
icodeguru_jpg.rf.305598a2d12b16bcd7dc0e73f7d80665,"{""actors"": [], ""use_cases"": [], ""system_boundary"": {}, ""relationships"": [], ""overall_description"": """"}",
ida_jpg.rf.f2e0ca39c3215316963112157547d5aa,"{""actors"": [], ""use_cases"": [], ""system_boundary"": {}, ""relationships"": [], ""overall_description"": """"}",
itqna_jpg.rf.c99ca257f7adbf8a2c1a34d150b92b9d,"{""actors"": [], ""use_cases"": [], ""system_boundary"": {}, ""relationships"": [], ""overall_description"": """"}",
itsourcecode_jpg.rf.4f869ad4e9675b7b07e8bac073398a4a,"{""actors"": [], ""use_cases"": [], ""system_boundary"": {}, ""relationships"": [], ""overall_description"": """"}",
jurist_jpg.rf.0dc7921242ef401d63c19aaa1858f637,"{""actors"": [], ""use_cases"": [], ""system_boundary"": {}, ""relationships"": [], ""overall_description"": """"}",
kmalloc_jpg.rf.63cb54418b7e6082c694289e5b56304d,"{""actors"": [], ""use_cases"": [], ""system_boundary"": {}, ""relationships"": [], ""overall_description"": """"}",
ksu_jpg.rf.532cff2a2a6345b0bd74459357f60b4c,"{""actors"": [], ""use_cases"": [], ""system_boundary"": {}, ""relationships"": [], ""overall_description"": """"}",
linglom_jpg.rf.135ac19a9bf5259cda057976788ddd2c,"{""actors"": [], ""use_cases"": [], ""system_boundary"": {}, ""relationships"": [], ""overall_description"": """"}",
lucidchart2_jpg.rf.1ab35ac94cd2f78aa2f72b6cc19c493e,"{""actors"": [], ""use_cases"": [], ""system_boundary"": {}, ""relationships"": [], ""overall_description"": """"}",
lucidchart3_jpg.rf.901a04f03e9920b441697cfbdca1a852,"{""actors"": [], ""use_cases"": [], ""system_boundary"": {}, ""relationships"": [], ""overall_description"": """"}",
lucidchart4_jpg.rf.8e444091b2951f3f64297c66bcd86ccf,"{""actors"": [], ""use_cases"": [], ""system_boundary"": {}, ""relationships"": [], ""overall_description"": """"}",
lucidchart5_jpg.rf.399c68b25be9e96901d7c65c5db427f0,"{""actors"": [], ""use_cases"": [], ""system_boundary"": {}, ""relationships"": [], ""overall_description"": """"}",
lucidchart_jpg.rf.b12d07b20a664e3ac44a103af6f5d10d,"{""actors"": [], ""use_cases"": [], ""system_boundary"": {}, ""relationships"": [], ""overall_description"": """"}",
mdpi_jpg.rf.450a8ada63cfaa6bf078d68954f42423,"{""actors"": [], ""use_cases"": [], ""system_boundary"": {}, ""relationships"": [], ""overall_description"": """"}",
modeliosoft_jpg.rf.42a3857070dbb49c34513f46ba495335,"{""actors"": [], ""use_cases"": [], ""system_boundary"": {}, ""relationships"": [], ""overall_description"": """"}",
modernanalyst2_jpg.rf.79ac66347825bcf6d625320d1e467485,"{""actors"": [], ""use_cases"": [], ""system_boundary"": {}, ""relationships"": [], ""overall_description"": """"}",
modernanalyst_jpg.rf.24a51f3845c33153ed3d846a6b05bc64,"{""actors"": [], ""use_cases"": [], ""system_boundary"": {}, ""relationships"": [], ""overall_description"": """"}",
mohamedelgendy_jpg.rf.3882cabf4f34e42ee38dd90d4028bf04,"{""actors"": [], ""use_cases"": [], ""system_boundary"": {}, ""relationships"": [], ""overall_description"": """"}",
pinterest2_jpg.rf.89259f390a5114a0165238b826405f6e,"{""actors"": [], ""use_cases"": [], ""system_boundary"": {}, ""relationships"": [], ""overall_description"": """"}",
pinterest_jpg.rf.2ee04980bce1720f4707e59a78c924ea,"{""actors"": [], ""use_cases"": [], ""system_boundary"": {}, ""relationships"": [], ""overall_description"": """"}",
pinterest_jpg.rf.b279ee64337d8ec9d68bd84e4cecd188,"{""actors"": [], ""use_cases"": [], ""system_boundary"": {}, ""relationships"": [], ""overall_description"": """"}",
pmi_jpg.rf.3e1404de9f00c450a58aa2ab929d98ba,"{""actors"": [], ""use_cases"": [], ""system_boundary"": {}, ""relationships"": [], ""overall_description"": """"}",
ques10_jpg.rf.13cc8cbff9900fe8627cb28cebb76126,"{""actors"": [], ""use_cases"": [], ""system_boundary"": {}, ""relationships"": [], ""overall_description"": """"}",
rahmasariulfah_jpg.rf.6f05b6bdaacac3de243073a3c480a9be,"{""actors"": [], ""use_cases"": [], ""system_boundary"": {}, ""relationships"": [], ""overall_description"": """"}",
researchGate2_jpg.rf.c2a7c8de39f9a314af5810a9f8ea7eca,"{""actors"": [], ""use_cases"": [], ""system_boundary"": {}, ""relationships"": [], ""overall_description"": """"}",
researchGate3_jpg.rf.192424942327cf039a0a644021b34978,"{""actors"": [], ""use_cases"": [], ""system_boundary"": {}, ""relationships"": [], ""overall_description"": """"}",
researchGate_jpg.rf.01b7548cc42b2cf59f82a961add63f64,"{""actors"": [], ""use_cases"": [], ""system_boundary"": {}, ""relationships"": [], ""overall_description"": """"}",
researchgate10_jpg.rf.a8b6623509562147d698c67f705b703e,"{""actors"": [], ""use_cases"": [], ""system_boundary"": {}, ""relationships"": [], ""overall_description"": """"}",
researchgate2_jpg.rf.bdfbfca71764391fd20c8ea39c03f89b,"{""actors"": [], ""use_cases"": [], ""system_boundary"": {}, ""relationships"": [], ""overall_description"": """"}",
researchgate3_jpg.rf.d315bfe4dc58a48de79af224f8f6eeb9,"{""actors"": [], ""use_cases"": [], ""system_boundary"": {}, ""relationships"": [], ""overall_description"": """"}",
researchgate4_jpg.rf.9c07ed5cc059db5965f13a11088e384b,"{""actors"": [], ""use_cases"": [], ""system_boundary"": {}, ""relationships"": [], ""overall_description"": """"}",
researchgate5_jpg.rf.7d223041b6e2cfa75340a202f00d5f7a,"{""actors"": [], ""use_cases"": [], ""system_boundary"": {}, ""relationships"": [], ""overall_description"": """"}",
researchgate6_jpg.rf.075500a5a599e360e67b2e8e84e92bf6,"{""actors"": [], ""use_cases"": [], ""system_boundary"": {}, ""relationships"": [], ""overall_description"": """"}",
researchgate7_jpg.rf.4d5b4f13c4d19c4a1107d8dcd04a00f5,"{""actors"": [], ""use_cases"": [], ""system_boundary"": {}, ""relationships"": [], ""overall_description"": """"}",
researchgate8_jpg.rf.713d2c5b454a3ad2194a2312a29c3bc5,"{""actors"": [], ""use_cases"": [], ""system_boundary"": {}, ""relationships"": [], ""overall_description"": """"}",
researchgate9_jpg.rf.3dbc94eaccd8a479deb53be200aa600d,"{""actors"": [], ""use_cases"": [], ""system_boundary"": {}, ""relationships"": [], ""overall_description"": """"}",
researchgate_jpg.rf.76951a81eb2fd0fff9bd19781546ae37,"{""actors"": [], ""use_cases"": [], ""system_boundary"": {}, ""relationships"": [], ""overall_description"": """"}",
sciencedirect_jpg.rf.8af8cd9531c341659ef1e82e1f120829,"{""actors"": [], ""use_cases"": [], ""system_boundary"": {}, ""relationships"": [], ""overall_description"": """"}",
semanticscholar_jpg.rf.6058b9b7a43c2dbfcd9dfb3f77666612,"{""actors"": [], ""use_cases"": [], ""system_boundary"": {}, ""relationships"": [], ""overall_description"": """"}",
sjsu_jpg.rf.1252692d74ee9cc866a0b32d5a7a6d04,"{""actors"": [], ""use_cases"": [], ""system_boundary"": {}, ""relationships"": [], ""overall_description"": """"}",
sjsu_jpg.rf.2c43cf7fe071a8b3af82b2d9cad98b3c,"{""actors"": [], ""use_cases"": [], ""system_boundary"": {}, ""relationships"": [], ""overall_description"": """"}",
slideplayer2_jpg.rf.003e487159ba959d276ec7606911ae28,"{""actors"": [], ""use_cases"": [], ""system_boundary"": {}, ""relationships"": [], ""overall_description"": """"}",
slideplayer3_jpg.rf.c99ffad5ce4197577b207020273323ad,"{""actors"": [], ""use_cases"": [], ""system_boundary"": {}, ""relationships"": [], ""overall_description"": """"}",
slideplayer4_jpg.rf.fa3f3f9aec19ee3f219efcc6cba4e482,"{""actors"": [], ""use_cases"": [], ""system_boundary"": {}, ""relationships"": [], ""overall_description"": """"}",
slideplayer5_jpg.rf.df98a5d761637b525960dbed93954b0e,"{""actors"": [], ""use_cases"": [], ""system_boundary"": {}, ""relationships"": [], ""overall_description"": """"}",
slideplayer_jpg.rf.ba5323b0070edb7b1e639c47cbcae9ef,"{""actors"": [], ""use_cases"": [], ""system_boundary"": {}, ""relationships"": [], ""overall_description"": """"}",
slidetodoc_jpg.rf.6f4ffab4f34783e9aa42f68b55a6a110,"{""actors"": [], ""use_cases"": [], ""system_boundary"": {}, ""relationships"": [], ""overall_description"": """"}",
soton_jpg.rf.0967144a00318006735dc23c9437e94a,"{""actors"": [], ""use_cases"": [], ""system_boundary"": {}, ""relationships"": [], ""overall_description"": """"}",
sourcecodehero_jpg.rf.ebefebc20a1da09027f8b7e5f0133bd6,"{""actors"": [], ""use_cases"": [], ""system_boundary"": {}, ""relationships"": [], ""overall_description"": """"}",
sourcemaking_jpg.rf.bf87798e200ff673f8fa29001b2bd655,"{""actors"": [], ""use_cases"": [], ""system_boundary"": {}, ""relationships"": [], ""overall_description"": """"}",
sparx2_jpg.rf.e26ff3d7b338ac9199d547212779b5c7,"{""actors"": [], ""use_cases"": [], ""system_boundary"": {}, ""relationships"": [], ""overall_description"": """"}",
sparx_jpg.rf.33d096c173871dcdf0c4d178e73928c4,"{""actors"": [], ""use_cases"": [], ""system_boundary"": {}, ""relationships"": [], ""overall_description"": """"}",
sparxsystems_jpg.rf.1aae3735febbef1ea19b5e09afa77617,"{""actors"": [], ""use_cases"": [], ""system_boundary"": {}, ""relationships"": [], ""overall_description"": """"}",
stackOverflow2_jpg.rf.1a447d353c3541bd741319e364f3c633,"{""actors"": [], ""use_cases"": [], ""system_boundary"": {}, ""relationships"": [], ""overall_description"": """"}",
stackOverflow3_jpg.rf.87cdf786dae728cbd38521c539cf2875,"{""actors"": [], ""use_cases"": [], ""system_boundary"": {}, ""relationships"": [], ""overall_description"": """"}",
stackOverflow_jpg.rf.d2b9853b51c8ea41930847d799eb0de5,"{""actors"": [], ""use_cases"": [], ""system_boundary"": {}, ""relationships"": [], ""overall_description"": """"}",
stackoverflow_jpg.rf.8c633d32b09435a2ec48cac9a3626aec,"{""actors"": [], ""use_cases"": [], ""system_boundary"": {}, ""relationships"": [], ""overall_description"": """"}",
startertutorials_jpg.rf.680cd0455092608e04f5d46d56a9eb28,"{""actors"": [], ""use_cases"": [], ""system_boundary"": {}, ""relationships"": [], ""overall_description"": """"}",
steam2_jpg.rf.544009bcd554374dbbbb14b49c43e7a9,"{""actors"": [], ""use_cases"": [], ""system_boundary"": {}, ""relationships"": [], ""overall_description"": """"}",
steam3_jpg.rf.89ebf71d0b9518c024d679abbee3366c,"{""actors"": [], ""use_cases"": [], ""system_boundary"": {}, ""relationships"": [], ""overall_description"": """"}",
steam4_jpg.rf.827d43609db078af13619bf2596713a5,"{""actors"": [], ""use_cases"": [], ""system_boundary"": {}, ""relationships"": [], ""overall_description"": """"}",
steam_jpg.rf.5a1063825d16a13e9a3b01696adc7ecb,"{""actors"": [], ""use_cases"": [], ""system_boundary"": {}, ""relationships"": [], ""overall_description"": """"}",
technosolutions_jpg.rf.2171303ca41bd664059397008112521a,"{""actors"": [], ""use_cases"": [], ""system_boundary"": {}, ""relationships"": [], ""overall_description"": """"}",
totaralearning_jpg.rf.4522ee600b8a943ec269824ee7dc8153,"{""actors"": [], ""use_cases"": [], ""system_boundary"": {}, ""relationships"": [], ""overall_description"": """"}",
tutorialspoint_jpg.rf.47156c349d526e615a3d31cd6b9559be,"{""actors"": [], ""use_cases"": [], ""system_boundary"": {}, ""relationships"": [], ""overall_description"": """"}",
uxmatters_jpg.rf.4e2bfe1ea25a253f2e9bd1921605be9b,"{""actors"": [], ""use_cases"": [], ""system_boundary"": {}, ""relationships"": [], ""overall_description"": """"}",
visual-paradigm_jpg.rf.5c2edf2581e25573d62a8a350bfc9438,"{""actors"": [], ""use_cases"": [], ""system_boundary"": {}, ""relationships"": [], ""overall_description"": """"}",
wikipedia_jpg.rf.0bf24e8e666546601e5698f4f9a24822,"{""actors"": [], ""use_cases"": [], ""system_boundary"": {}, ""relationships"": [], ""overall_description"": """"}",
wrike_jpg.rf.89b90a7545091e9a5eb7fd71be38df06,"{""actors"": [], ""use_cases"": [], ""system_boundary"": {}, ""relationships"": [], ""overall_description"": """"}",
yuml_jpg.rf.456daf68fb7f3606a06dca96efb5b219,"{""actors"": [], ""use_cases"": [], ""system_boundary"": {}, ""relationships"": [], ""overall_description"": """"}",
