High_Requirements,Low_Requirements,Instruction
Each MODIS standard data product shall be produced within the data volume and processing load allocation shown in Table B-1.,"process input data sets with the following nominal attributes: * Time transitions, including Greenwich Meridian crossing, leap year, beginning of the year, beginning of the millennium, and/or start of data collection not on a granule boundary. * Terminator crossing , International Date Line crossing, and/or Earth pole within a granule. Day, Night, or mixed  mode data.","Definition: In this task, process input datasets covering all specified time transitions, crossings, and day/night modes.
Emphasis & Caution: Handle all listed edge cases.
Things to Avoid: Ignoring any specified condition."
"A MODIS Computer Software Configuration Item (CSCI) is any independently tracked and configured unit of software within the MODIS SDP S/W, including processes, scripts, and utility libraries.  Each CSCI within the MODIS SDP S/W systemshall employ the Earth Science Data and Information System (ESDIS)-supplied SDPTK mandatory functions to access the DAAC production environment and services.","Shall create ECS_standard_global_metadata and MODISL1A_specific_global_metadata for each completed Level1A_data product, using Level0_open_metadata and selected metadata contained in MODIS_scan.","Definition: In this task, create ECS_standard_global_metadata and MODISL1A_specific_global_metadata for each completed Level1A data product using the specified metadata sources.
Emphasis & Caution: Use Level0_open_metadata and selected MODIS_scan metadata only.
Things to Avoid: Creating metadata from incorrect sources."
"A MODIS Computer Software Configuration Item (CSCI) is any independently tracked and configured unit of software within the MODIS SDP S/W, including processes, scripts, and utility libraries.  Each CSCI within the MODIS SDP S/W systemshall employ the Earth Science Data and Information System (ESDIS)-supplied SDPTK mandatory functions to access the DAAC production environment and services.",The L1A/Geolocation software shall use all applicable mandatory SDPTK 5.2 routines and any additional SDPTK routines that are useful.,"Definition: In this task, use all mandatory SDPTK 5.2 routines and any additional useful SDPTK routines in the L1A/Geolocation software.
Emphasis & Caution: Mandatory routines cannot be skipped.
Things to Avoid: Partial or incomplete SDPTK usage."
"A PGE is a script which executes one or more MODIS software processes within the ECS environment greenwich meridian.  Each PGE shall be provided with one or more sets of production rules, which specify the inputs, outputs, and activation conditions for the PGE.",Shall Abort_current_packet_processing if the calculated packet checksum is not the same as the packet_checksum in the MODIS_pkt.,"Definition: In this task, abort current packet processing when the calculated packet checksum does not match the MODIS_pkt packet_checksum.
Emphasis & Caution: Abort immediately on checksum mismatch.
Things to Avoid: Continuing processing with invalid packets."
"A MODIS Computer Software Configuration Item (CSCI) is any independently tracked and configured unit of software within the MODIS SDP S/W, including processes, scripts, and utility libraries.  Each CSCI shall be coded according to thestandards specified in the MODIS Software Development Standards and Guidelines, SDST-022 .","Shall create ECS_standard_global_metadata and MODISL1A_specific_global_metadata for each completed Level1A_data product, using Level0_open_metadata and selected metadata contained in MODIS_scan.","Definition: In this task, create ECS_standard_global_metadata and MODISL1A_specific_global_metadata for each completed Level1A data product using specified metadata sources.
Emphasis & Caution: Use Level0_open_metadata and selected MODIS_scan metadata only.
Things to Avoid: Using incorrect or missing metadata."
"A MODIS Computer Software Configuration Item (CSCI) is any independently tracked and configured unit of software within the MODIS SDP S/W, including processes, scripts, and utility libraries.  Each CSCI within the MODIS SDP S/W systemshall employ the Earth Science Data and Information System (ESDIS)-supplied SDPTK mandatory functions to access the DAAC production environment and services.",The L1A/Geolocation software shall use all applicable mandatory SDPTK routines and any additional SDPTK routines that are useful.,"Definition: In this task, use all mandatory SDPTK routines and any additional useful SDPTK routines in the L1A/Geolocation software.
Emphasis & Caution: Mandatory SDPTK routines must be included.
Things to Avoid: Omitting required SDPTK routines."
Each software process shall perform quality checks on the input and output data and report on the degree to which the product conforms to instrument specification or science data accuracy specifications.,Shall generate data_input_status_messages and set scan_quality_flags if corrupted data values are detected.,"Definition: In this task, generate data_input_status_messages and set scan_quality_flags when corrupted data values are detected.
Emphasis & Caution: Perform both actions upon corruption detection.
Things to Avoid: Reporting without setting flags."
Each Software process shall handle input data sets with the following error attributes: Wrong format input files.,Shall verify that the Spacecraft_indicator contained in the Level1A_Parameters is consistent with the Spacecraft_indicator found in the Level 0 file header.,"Definition: In this task, verify that the Spacecraft_indicator in Level1A_Parameters matches the indicator in the Level 0 file header.
Emphasis & Caution: Indicators must be consistent.
Things to Avoid: Skipping the verification."
Each MODIS standard data product shall be produced within the data volume and processing load allocation shown in Table B-1.,The L1A/Geolocation software shall use HDF Version 4.1r1 for reading and writing all HDF files.,"Definition: In this task, read and write all HDF files using HDF Version 4.1r1 only.
Emphasis & Caution: Use HDF Version 4.1r1 exclusively.
Things to Avoid: Using other HDF versions."
Each software process shall trap and properly process all exceptions that may produce an abnormal terminationand report all such events using the SDPTK error message functions.,Shall write Level0_header_log_msgs to Log_messages if the Spacecraft_indicator verification fails.,"Definition: In this task, write Level0_header_log_msgs to Log_messages when Spacecraft_indicator verification fails.
Emphasis & Caution: Log only on verification failure.
Things to Avoid: Missing or misdirected logs."
Each software process shall trap and properly process all exceptions that may produce an abnormal terminationand report all such events using the SDPTK error message functions.,Shall write Read_packet_log_msgs to Log_messages when errors occur in the Read_MODIS_packet process.,"Definition: In this task, write Read_packet_log_msgs to Log_messages when errors occur during the Read_MODIS_packet process.
Emphasis & Caution: Log messages only on read errors.
Things to Avoid: Ignoring packet read errors."
Each software process shall perform quality checks on the input and output data and report on the degree to which the product conforms to instrument specification or science data accuracy specifications.,The L1A/Geolocation software shall use all applicable mandatory SDPTK 5.2 routines and any additional SDPTK routines that are useful.,"Definition: In this task, use all mandatory SDPTK 5.2 routines and any additional useful SDPTK routines in the L1A/Geolocation software.
Emphasis & Caution: SDPTK 5.2 compliance is required.
Things to Avoid: Using unsupported toolkit versions."
All searchable product-specific metadata in MODIS standard products shall be formatted as specified in DID 311.,The L1A/Geolocation software shall use all applicable mandatory SDPTK 5.2 routines and any additional SDPTK routines that are useful.,"Definition: In this task, use all mandatory SDPTK 5.2 routines and any additional useful SDPTK routines in the L1A/Geolocation software.
Emphasis & Caution: All mandatory routines must be applied.
Things to Avoid: Partial SDPTK implementation."
"A MODIS Computer Software Configuration Item (CSCI) is any independently tracked and configured unit of software within the MODIS SDP S/W, including processes, scripts, and utility libraries.  Each CSCI shall be coded according to thestandards specified in the MODIS Software Development Standards and Guidelines, SDST-022 .",The L1A/Geolocation software shall follow the coding standards established by the MODIS project in MODIS Software Development Standards and Guidelines,"Definition: In this task, follow the MODIS Software Development Standards and Guidelines when coding the L1A/Geolocation software.
Emphasis & Caution: Strict adherence is required.
Things to Avoid: Deviating from MODIS coding standards."
Each software process shall trap and properly process all exceptions that may produce an abnormal terminationand report all such events using the SDPTK error message functions.,Shall issue Program_stop if MODIS_packets cannot be read from Level0_data file.,"Definition: In this task, issue Program_stop if MODIS packets cannot be read from the Level0_data file.
Emphasis & Caution: Trigger Program_stop only on read failure.
Things to Avoid: Continuing processing after unreadable packets."
Each software process shall perform quality checks on the input and output data and report on the degree to which the product conforms to instrument specification or science data accuracy specifications.,Shall incorporate level1a_scan_flags into scan_quality flags.,"Definition: In this task, incorporate level1a_scan_flags into scan_quality flags.
Emphasis & Caution: Ensure correct flag mapping.
Things to Avoid: Dropping or misaligning flags."
Each Software process shall handle input data sets with the following error attributes: Corrupted data as indicated by Quality Assurance (QA) flags also located within the file.,Shall incorporate level1a_scan_flags into scan_quality flags.,"Definition: In this task, incorporate level1a_scan_flags into scan_quality flags.
Emphasis & Caution: Flags must be fully merged.
Things to Avoid: Partial incorporation."
A PGE is a script which executes one or more MODIS software processes within the ECS environment.  The SDST shall integrate all software processes available to the SDST software integration team into a set of PGEs that execute all processes in the MODIS TLCF.,Shall Abort_current_packet_processing if the calculated packet checksum is not the same as the packet_checksum in the MODIS_pkt.,"Definition: In this task, abort current packet processing if the calculated checksum does not match the MODIS_pkt packet_checksum.
Emphasis & Caution: Abort immediately on mismatch.
Things to Avoid: Processing packets with checksum errors."
"A MODIS Computer Software Configuration Item (CSCI) is any independently tracked and configured unit of software within the MODIS SDP S/W, including processes, scripts, and utility libraries.  Each CSCI shall be coded according to thestandards specified in the MODIS Software Development Standards and Guidelines, SDST-022 .",The L1A/Geolocation software shall use all applicable mandatory SDPTK routines and any additional SDPTK routines that are useful.,"Definition: In this task, use all mandatory SDPTK routines and any additional useful SDPTK routines in the L1A/Geolocation software.
Emphasis & Caution: Mandatory routines are required.
Things to Avoid: Skipping required SDPTK routines."
The spatial starting points for all CMG grids shall be defined such that vertically (latitudinal) the bottom of the first row of cells in the Northern hemisphere will touch the equator and horizontally (meridional) the left edge of the first cell on the left at the equator will be at 180 degrees West longitude.,"Shall create ECS_standard_global_metadata and MODISL1A_specific_global_metadata for each completed Level1A_data product, using Level0_open_metadata and selected metadata contained in MODIS_scan.","Definition: In this task, create ECS_standard_global_metadata and MODISL1A_specific_global_metadata for each completed Level1A data product using specified metadata sources.
Emphasis & Caution: Use Level0_open_metadata and selected MODIS_scan metadata only.
Things to Avoid: Using incorrect metadata sources."
"A MODIS Computer Software Configuration Item (CSCI) is any independently tracked and configured unit of software within the MODIS SDP S/W, including processes, scripts, and utility libraries.  Each CSCI shall be coded according to thestandards specified in the MODIS Software Development Standards and Guidelines, SDST-022 .",The L1A/Geolocation software shall use all applicable mandatory SDPTK 5.2 routines and any additional SDPTK routines that are useful.,"Definition: In this task, use all mandatory SDPTK 5.2 routines and any additional useful SDPTK routines in the L1A/Geolocation software.
Emphasis & Caution: SDPTK 5.2 compliance is required.
Things to Avoid: Using unsupported SDPTK versions."
Each Software process shall handle input data sets with the following error attributes: Wrong format input files.,Shall generate data_input_status_messages if errors are encountered in reading Level_2_Data.,"Definition: In this task, generate data_input_status_messages when errors occur while reading Level_2_Data.
Emphasis & Caution: Generate messages only on read errors.
Things to Avoid: Failing to report read errors."
"A PGE is a script which executes one or more MODIS software processes within the ECS environment.  The SDST shall integrate subsets of these processes into sets of PGEs that execute in the GSFC DAAC, EDC DAAC, and the NSIDC DAAC as specified in Table B-1.","Shall create ECS_standard_global_metadata and MODISL1A_specific_global_metadata for each completed Level1A_data product, using Level0_open_metadata and selected metadata contained in MODIS_scan.","Definition: In this task, create ECS_standard_global_metadata and MODISL1A_specific_global_metadata for each completed Level1A data product using specified metadata sources.
Emphasis & Caution: Metadata must be created for every completed product.
Things to Avoid: Omitting metadata creation."
Each MODIS standard data product shall be produced within the data volume and processing load allocation shown in Table B-1.,The L1A/Geolocation software shall follow the coding standards established by the MODIS project in MODIS Software Development Standards and Guidelines,"Definition: In this task, follow the MODIS Software Development Standards and Guidelines when coding the L1A/Geolocation software.
Emphasis & Caution: Strict adherence is required.
Things to Avoid: Deviating from MODIS coding standards."
Each software process shall trap and properly process all exceptions that may produce an abnormal terminationand report all such events using the SDPTK error message functions.,Shall write Verify_CCSDS_log_msgs to Log_messages when errors occur in the Verify_CCSDS_header_info process.,"Definition: In this task, write Verify_CCSDS_log_msgs to Log_messages when errors occur during the Verify_CCSDS_header_info process.
Emphasis & Caution: Log only when errors occur.
Things to Avoid: Missing or misrouted log messages."
Each Software process shall handle input data sets with the following error attributes: Corrupted data as indicated by Quality Assurance (QA) flags also located within the file.,Shall Abort_current_packet_processing if the calculated packet checksum is not the same as the packet_checksum in the MODIS_pkt.,"Definition: In this task, abort current packet processing if the calculated packet checksum does not match the MODIS_pkt packet_checksum.
Emphasis & Caution: Abort immediately on mismatch.
Things to Avoid: Continuing processing after checksum failure."
Each software process shall trap and properly process all exceptions that may produce an abnormal terminationand report all such events using the SDPTK error message functions.,"Shall create ECS_standard_global_metadata and MODISL1A_specific_global_metadata for each completed Level1A_data product, using Level0_open_metadata and selected metadata contained in MODIS_scan.","Definition: In this task, create ECS_standard_global_metadata and MODISL1A_specific_global_metadata for each completed Level1A data product using specified metadata sources.
Emphasis & Caution: Use Level0_open_metadata and selected MODIS_scan metadata only.
Things to Avoid: Using incorrect metadata sources."
Each software process shall trap and properly process all exceptions that may produce an abnormal terminationand report all such events using the SDPTK error message functions.,Shall write Verify_MODIS_log_msgs to Log_messages when errors occur in the Verify_MODIS_header_info process.,"Definition: In this task, write Verify_MODIS_log_msgs to Log_messages when errors occur during the Verify_MODIS_header_info process.
Emphasis & Caution: Log only on verification errors.
Things to Avoid: Logging outside this process."
A PGE is a script which executes one or more MODIS software processes within the ECS environment.  A PGE shall not set or redefine environmental variables.,Shall write L0_open_log_msgs to Log_messages when errors occur in the Open_Level0_file process.,"Definition: In this task, write L0_open_log_msgs to Log_messages when errors occur during the Open_Level0_file process.
Emphasis & Caution: Log messages only on open errors.
Things to Avoid: Failing to log open errors."
"Each software process shall be able to process input data sets with the following nominal attributes: Time transitions, including Greenwich Meridian crossing, leap year, beginning of the year, beginning of the millennium, and/or startof data collection not on a granule boundary.  Terminator crossing , International Date Line crossing, and/or Earth pole within a granule.  Day, Night, or mixed  mode data.","process input data sets with the following nominal attributes: * Time transitions, including Greenwich Meridian crossing, leap year, beginning of the year, beginning of the millennium, and/or start of data collection not on a granule boundary. * Terminator crossing , International Date Line crossing, and/or Earth pole within a granule. Day, Night, or mixed  mode data.","Definition: In this task, process input datasets covering all specified time transitions, crossings, and day/night modes.
Emphasis & Caution: All listed conditions must be handled.
Things to Avoid: Ignoring any specified condition."
Each MODIS Standard Product shall contain ECS core metadata with the content and format specified in DID 311.,"Shall create ECS_standard_global_metadata and MODISL1A_specific_global_metadata for each completed Level1A_data product, using Level0_open_metadata and selected metadata contained in MODIS_scan.","Definition: In this task, create ECS_standard_global_metadata and MODISL1A_specific_global_metadata for each completed Level1A data product using specified metadata sources.
Emphasis & Caution: Metadata must be generated for every product.
Things to Avoid: Omitting metadata creation."
"The allowed grid resolutions for Climate Modeling Grid (CMG) products shall use an equal angle grid at 1.0 degree (111 km), 0.5 degree (57 km), and/or 0.25 degree (28.5 km) resolution.",Shall incorporate level1a_scan_flags into scan_quality flags.,"Definition: In this task, incorporate level1a_scan_flags into scan_quality flags.
Emphasis & Caution: Ensure correct flag integration.
Things to Avoid: Dropping or misapplying flags."
"Each MODIS standard product shall contain ECS core metadata, the content and format of which are specified in DID 311.",It should be verified that the Spacecraft_indicator contained in Level1A_Parameters is consistent with the Spacecraft_indicator in the Level 0 file header.,"Definition: In this task, verify that the Spacecraft_indicator in Level1A_Parameters matches the indicator in the Level 0 file header.
Emphasis & Caution: Indicators must be consistent.
Things to Avoid: Skipping the verification."
Each MODIS standard data product shall be generated within the data volume and processing load distribution shown in Table B-1.,"Processes input datasets with the following nominal properties: * Time transformations, including Greenwich meridian crossing, leap year, beginning of year, start of millennium and/or not starting data collection on granular boundaries. * Intra-granular Terminator crossings, International Date Line crossings and/or Earth poles. Day, night or mixed mode data.","Definition: In this task, process input datasets covering all specified time transformations, crossings, and day/night modes.
Emphasis & Caution: Handle all listed properties.
Things to Avoid: Ignoring any specified property."
"A MODIS Computer Software Configuration Item (CSCI) is any independently tracked and configured software unit within MODIS SDP S/W, including processes, scripts, and utility libraries. Each CSCI within the MODIS SDP S/W system should use the SDPTK mandatory functionality provided by the Earth Science Data and Information System (ESDIS) to access the DAAC production environment and services.",ECS_standard_global_metadata and MODISL1A_specific_global_metadata should be created for each completed Level1A_data product using selected metadata contained in Level0_open_metadata and MODIS_scan.,"Definition: In this task, create ECS standard global metadata and MODISL1A-specific global metadata for each completed Level 1A data product using selected metadata from Level 0 open metadata and MODIS scan.
Emphasis & Caution: Ensure metadata is created for every completed Level 1A product.
Things to Avoid: Do not omit required source metadata."
"A MODIS Computer Software Configuration Item (CSCI) is any independently tracked and configured software unit within MODIS SDP S/W, including processes, scripts, and utility libraries. Each CSCI within the MODIS SDP S/W system should use the SDPTK mandatory functionality provided by the Earth Science Data and Information System (ESDIS) to access the DAAC production environment and services.",L1A/Geolocation software should use all applicable mandatory SDPTK 5.2 routines and any other useful SDPTK routines.,"Definition: In this task, use all applicable mandatory SDPTK 5.2 routines and any other useful SDPTK routines in the L1A/Geolocation software.
Emphasis & Caution: Mandatory SDPTK 5.2 routines must be included.
Things to Avoid: Do not skip required SDPTK routines."
"PGE is a script that executes one or more MODIS software processes within the Greenwich Meridian ECS environment. Each PGE shall provide one or more sets of generation rules that specify the input, output, and activation conditions of the PGE.","If the calculated packet checksum is different from the packet_checksum in MODIS_pkt, _current_packet_processing should be aborted.","Definition: In this task, abort current packet processing if the calculated packet checksum differs from the packet checksum in MODIS_pkt.
Emphasis & Caution: Stop processing immediately on checksum mismatch.
Things to Avoid: Do not continue processing after a checksum error."
"angstrom_unit MODIS Computer Software Configuration Item (CSCI) is any independently cut_across and configure unit of software within the MODIS SDP S/W, include processes, scripts, and utility libraries. apiece CSCI in the MODIS SDP S/W shall feed in the EU production environment.",The L1A/Geolocation software shall accompany the coding standards established by the MODIS cast in MODIS package Development Standards and road_map,"Definition: In this task, ensure the L1A/Geolocation software follows the MODIS package Development Standards and road map coding standards.
Emphasis & Caution: Full compliance with established coding standards is required.
Things to Avoid: Do not use nonstandard or inconsistent coding practices."
"A MODIS Computer Software conformation token (CSCI) exist any independently tracked and configured unit of software within the MODIS SDP S/W, including processes, scripts, and utility libraries. each CSCI shall comprise rag according to thestandards specified in the MODIS Software ontogeny banner and Guidelines, SDST-022 .",The L1A/Geolocation software_program shall usage HDF Version 4.1r1 for reading and spell all HDF files.,"Definition: In this task, use HDF Version 4.1r1 to read and write all HDF files in the L1A/Geolocation software program.
Emphasis & Caution: Only HDF Version 4.1r1 is acceptable.
Things to Avoid: Do not use other HDF versions."
Each software process shall perform quality checks along the stimulus and output data and report along the degree to which the product conforms to legal_document stipulation or science data truth specifications.,Shall report errors as parameter_input_status_messages In log position subject_matter file through the use of SDP functions.,"Definition: In this task, report errors as parameter_input_status_messages in the subject matter log file using SDP functions.
Emphasis & Caution: Use SDP functions for all error reporting.
Things to Avoid: Do not log errors outside the specified format or location."
"A MODIS Computer package Configuration Item (CSCI) is whatever independently tracked and configured building_block of software_package within the MODIS SDP S/W, including processes, scripts, and service_program libraries. Each CSCI within the MODIS SDP S/W systemshall employ the dry_land Science Data and information System (ESDIS)-supplied SDPTK mandatary functions to access the DAAC product surround and services.","work_on input_signal data_point pose with the stick_with nominal attributes: * Time transitions, including Greenwich Meridian crossing, leap year, beginning of the year, beginning of the millennium, and/or bulge_out of data_point collection non on amp granule boundary. * Terminator crossing , International Date Line crossing, and/or Earth perch within amp granule. Day, Night, OR mixed mode data.","Definition: In this task, process input signal data points with nominal attributes across time transitions, boundary crossings, and day/night or mixed modes within a granule.
Emphasis & Caution: Correctly handle all listed temporal and spatial edge cases.
Things to Avoid: Do not ignore boundary or mode transition conditions."
"A PGE follow a hand which executes one operating_theatre more MODIS software outgrowth within the ECS environs greenwich meridian. Each PGE shall exist furnish with one operating_theatre more sets of output rules, which specify the inputs, outputs, and activation conditions for the PGE.",Shall avow that the Spacecraft_indicator hold in the Level1A_Parameters is consistent with the Spacecraft_indicator found in the tied 0 file header.,"Definition: In this task, verify that the Spacecraft Indicator in Level 1A parameters matches the Spacecraft Indicator in the associated Level 0 file header.
Emphasis & Caution: Indicators must be consistent.
Things to Avoid: Do not allow mismatched spacecraft indicators."
file as standard product shall Each the MODIS product contain name for all input product files MODIS ECS archive metadata.,"Shall in ECS_standard_global_metadata and MODIS_scan. for each Level1A_data completed product, using Level0_open_metadata and selected metadata contained create MODISL1A_specific_global_metadata","Definition: In this task, create MODISL1A-specific global metadata for each completed Level 1A data product using ECS standard global metadata, Level 0 open metadata, and MODIS scan metadata.
Emphasis & Caution: Apply this process to every completed Level 1A product.
Things to Avoid: Do not reuse incomplete or incorrect metadata."
in searchable All metadata MODIS product-specific standard products shall be formatted as specified in DID 311.,"and create completed and MODISL1A_specific_global_metadata for each ECS_standard_global_metadata Level0_open_metadata product, using Level1A_data Shall selected metadata contained in MODIS_scan.","Definition: In this task, create completed MODISL1A-specific global metadata for each ECS standard global metadata product using selected metadata from Level 1A data and MODIS scan.
Emphasis & Caution: Ensure metadata sources are correctly mapped.
Things to Avoid: Do not mix incorrect metadata sources."
Each software process shall terminationand and properly process all exceptions may that produce using abnormal trap report all such events an the SDPTK error message functions.,Shall write L0_open_log_msgs in the when process. occur to Log_messages Open_Level0_file errors,"Definition: In this task, write log messages to L0_open_log_msgs when Open_Level0_file processing errors occur.
Emphasis & Caution: Log only when the error occurs.
Things to Avoid: Do not log unrelated events."
A PGE is a MODIS which executes one or more MODIS software processes within the ECS environment. The that shall integrate all software processes available to the script software integration team into a set of PGEs SDST execute all processes in the SDST TLCF.,Shall in L0_open_log_msgs to Log_messages when write occur the errors Open_Level0_file process.,"Definition: In this task, record Open_Level0_file processing errors into Log_messages via L0_open_log_msgs.
Emphasis & Caution: Ensure errors are correctly captured at write time.
Things to Avoid: Do not miss or duplicate error logs."
