Header,Description,Instruction
2471,"{""description"": ""A tortoiseshell cat is standing on a table, curiously looking at a Coca-Cola Zero bottle."", ""details"": {""objects"": [""Tortoiseshell cat"", ""Coca-Cola Zero bottle"", ""Table""], ""scene"": ""Indoor scene"", ""spatial_info"": {""cat"": ""standing on the table"", ""Coca-Cola Zero bottle"": ""placed on the table"", ""table"": ""brown surface with paw print designs""}}, ""confidence"": 0.9584846375088156, ""recognition_status"": ""success"", ""processing_time"": 7.936813116073608}","Definition: In this task, draw tight bounding boxes around the ""Tortoiseshell cat"" and the ""Coca-Cola Zero bottle"".
Emphasis & Caution: Cat standing on the table; bottle placed on the table.
Things to Avoid: Do not annotate the ""Table""."
2742,"{""description"": ""A pizzeria setting where pizzas are being prepared and served, with a wood-fired oven in the background."", ""details"": {""objects"": [""Wood-fired pizza oven"", ""Pizzas on plates"", ""Stacked plates"", ""Bowl of ingredients"", ""Cutting board"", ""Kitchen utensils"", ""Person wearing a red cap"", ""Person wearing a dark shirt""], ""scene"": ""Indoor scene"", ""spatial_info"": {""Wood-fired pizza oven"": ""Center-left"", ""Pizzas on plates"": ""Foreground-right"", ""Stacked plates"": ""Foreground-left"", ""Bowl of ingredients"": ""Left-center"", ""Cutting board"": ""Center"", ""Kitchen utensils"": ""Center"", ""Person wearing a red cap"": ""Background-left"", ""Person wearing a dark shirt"": ""Background-right""}}, ""confidence"": 0.9428585327914639, ""recognition_status"": ""success"", ""processing_time"": 13.0305335521698}","Definition: In this task, draw tight bounding boxes around the ""Person wearing a red cap"" and the ""Person wearing a dark shirt"".
Emphasis & Caution: Background-left and background-right positions.
Things to Avoid: Do not annotate ""Wood-fired pizza oven"", ""Pizzas on plates"", or other kitchen items."
3076,"{""description"": ""A serene winter scene featuring a horse harnessed to a sleigh amidst snow-covered birch trees, with wooden cabins in the background."", ""details"": {""objects"": [""Horse"", ""Sleigh"", ""Snow-covered birch trees"", ""Wooden cabins"", ""Snowy ground""], ""scene"": ""Winter landscape"", ""spatial_info"": {""Horse"": ""Center foreground"", ""Sleigh"": ""Attached to horse, partially visible"", ""Birch trees"": ""Surrounding the horse and cabins"", ""Wooden cabins"": ""Background, right side""}}, ""confidence"": 0.9479130327466846, ""recognition_status"": ""success"", ""processing_time"": 9.607742547988892}","Definition: In this task, draw tight bounding boxes around the ""Horse"" and the ""Sleigh"".
Emphasis & Caution: Horse in the center foreground with sleigh attached.
Things to Avoid: Do not annotate ""Snow-covered birch trees"", ""Wooden cabins"", or ""Snowy ground""."
3353,"{""description"": ""A cozy indoor scene featuring a cat lounging on a person's lap, surrounded by a cluttered coffee table."", ""details"": {""objects"": [""cat"", ""person"", ""coffee table"", ""laptop"", ""water bottle"", ""jars"", ""remote control"", ""cups""], ""scene"": ""indoor scene"", ""spatial_info"": {""cat"": ""on person's lap"", ""person"": ""sitting"", ""coffee table"": ""in front of person"", ""laptop"": ""on coffee table"", ""water bottle"": ""on coffee table"", ""jars"": ""on coffee table"", ""remote control"": ""on coffee table"", ""cups"": ""on coffee table""}}, ""confidence"": 0.9632511780053589, ""recognition_status"": ""success"", ""processing_time"": 11.329717874526978}","Definition: In this task, draw tight bounding boxes around the ""cat"" and the ""person"".
Emphasis & Caution: Cat on the person¡¯s lap.
Things to Avoid: Do not annotate ""coffee table"", ""laptop"", ""water bottle"", ""jars"", ""remote control"", or ""cups""."
3693,"{""description"": ""A group of people is engaged in a dance or movement activity in an urban setting with graffiti art on the wall."", ""details"": {""objects"": [""people dancing"", ""graffiti art on the wall"", ""window with bars"", ""concrete floor"", ""casual clothing""], ""scene"": ""urban scene"", ""spatial_info"": {""people"": [""standing"", ""dancing""], ""graffiti"": [""on the right side of the image""], ""window"": [""left side of the image""], ""floor"": [""central area""]}}, ""confidence"": 0.9316972337088982, ""recognition_status"": ""success"", ""processing_time"": 10.173573732376099}","Definition: In this task, draw tight bounding boxes around all ""people dancing"".
Emphasis & Caution: Standing and dancing figures.
Things to Avoid: Do not annotate ""graffiti art on the wall"", ""window with bars"", or ""concrete floor""."
3941,"{""description"": ""A close-up view of a street sign reading 'RAMSAY ST' set against a backdrop of green foliage and a building."", ""details"": {""objects"": [""RAMSAY ST street sign"", ""metal pole supporting the sign"", ""green trees"", ""building partially visible behind the trees""], ""scene"": ""urban street"", ""spatial_info"": {""street sign"": ""attached to a metal pole, positioned at an angle"", ""trees"": ""in the background, surrounding the sign"", ""building"": ""partially visible behind the trees, located further back than the sign""}}, ""confidence"": 0.9426404618232982, ""recognition_status"": ""success"", ""processing_time"": 9.65863585472107}","Definition: In this task, draw tight bounding boxes around the ""RAMSAY ST street sign"".
Emphasis & Caution: Focus on the text-bearing sign attached to a ""metal pole"".
Things to Avoid: Do not annotate ""green trees"" or the ""building partially visible behind the trees""."
4239,"{""description"": ""A snowboarder is captured mid-turn on a snowy slope, with sunlight casting dynamic shadows."", ""details"": {""objects"": [""snowboarder"", ""snowboard"", ""snow"", ""sunlight"", ""red poles""], ""scene"": ""ski slope"", ""spatial_info"": {""snowboarder"": ""center-left"", ""snowboard"": ""attached to snowboarder's feet"", ""snow"": ""covering the entire surface"", ""sunlight"": ""shining from above, creating bright highlights and shadows"", ""red poles"": ""visible in the upper right corner""}}, ""confidence"": 0.9475766390836423, ""recognition_status"": ""success"", ""processing_time"": 10.882010698318481}","Definition: In this task, draw tight bounding boxes around the ""snowboarder"" and the ""snowboard"".
Emphasis & Caution: Focus on the ""snowboarder"" at center-left with the ""snowboard"" attached to the feet.
Things to Avoid: Do not annotate ""snow"", ""sunlight"", or ""red poles""."
4477,"{""description"": ""A close-up of an elephant with its trunk raised, standing outdoors amidst greenery."", ""details"": {""objects"": [""elephant"", ""trunk"", ""ear"", ""eye"", ""nose"", ""background elephant""], ""scene"": ""outdoor natural setting"", ""spatial_info"": {""elephant"": ""front and center"", ""background elephant"": ""farther back, slightly out of focus""}}, ""confidence"": 0.9396869448558741, ""recognition_status"": ""success"", ""processing_time"": 7.546039342880249}","Definition: In this task, draw tight bounding boxes around the ""elephant"".
Emphasis & Caution: Focus on the front and center ""elephant"" with the raised ""trunk"".
Things to Avoid: Do not annotate the ""background elephant""."
4714,"{""description"": ""A man is playing guitar while a group of people sit around him in a cozy indoor setting."", ""details"": {""objects"": [""man playing guitar"", ""group of seated individuals"", ""fireplace"", ""mirror"", ""clock"", ""bowl"", ""guitar case"", ""lamp"", ""pictures on mantle"", ""drum""], ""scene"": ""indoor scene"", ""spatial_info"": {""man playing guitar"": ""left side, standing"", ""group of seated individuals"": ""right side, sitting"", ""fireplace"": ""center background"", ""mirror"": ""above fireplace"", ""clock"": ""wall above fireplace"", ""bowl"": ""on floor near seated individuals"", ""guitar case"": ""floor behind man"", ""lamp"": ""on mantle"", ""pictures"": ""on mantle"", ""drum"": ""on floor behind seated individuals""}}, ""confidence"": 0.9377170172645751, ""recognition_status"": ""success"", ""processing_time"": 13.722222566604614}","Definition: In this task, draw tight bounding boxes around the ""man playing guitar"" and the ""group of seated individuals"".
Emphasis & Caution: Focus on the standing ""man playing guitar"" on the left and the seated group on the right.
Things to Avoid: Do not annotate ""fireplace"", ""mirror"", ""clock"", ""bowl"", ""guitar case"", ""lamp"", ""pictures on mantle"", or ""drum""."
4979,"{""description"": ""A large red chair sculpture with a painted horse perched on top, situated in front of a modern building."", ""details"": {""objects"": [""Large red chair"", ""Painted horse""], ""scene"": ""Outdoor urban setting"", ""spatial_info"": {""chair"": ""Foreground, central"", ""horse"": ""On top of the chair"", ""building"": ""Background""}}, ""confidence"": 0.9510271073396522, ""recognition_status"": ""success"", ""processing_time"": 6.7792980670928955}","Definition: In this task, draw tight bounding boxes around the ""Large red chair"" and the ""Painted horse"".
Emphasis & Caution: Focus on the foreground ""Large red chair"" with the ""Painted horse"" on top.
Things to Avoid: Do not annotate the background ""building""."
5198,"{""description"": ""A family riding on a motorcycle, with two adults wearing helmets and a child in an orange hoodie being held by one adult."", ""details"": {""objects"": [""motorcycle"", ""helmet"", ""child"", ""adults"", ""urban street""], ""scene"": ""urban street"", ""spatial_info"": {""motorcycle"": ""center"", ""helmeted adults"": ""on motorcycle"", ""child"": ""being held by adult"", ""urban street elements"": ""background""}}, ""confidence"": 0.9355644462856477, ""recognition_status"": ""success"", ""processing_time"": 8.31528902053833}","Definition: In this task, draw tight bounding boxes around the ""motorcycle"", ""adults"", and the ""child"".
Emphasis & Caution: Focus on the ""child"" being held by an adult and the helmeted ""adults"" on the motorcycle.
Things to Avoid: Do not annotate the ""urban street""."
5412,"{""description"": ""A modern, minimalist bathroom featuring a wall-mounted toilet, bidet, and a sleek vanity with a sink and drawers."", ""details"": {""objects"": [""Wall-mounted toilet"", ""Bidet"", ""Vanity with sink and drawers"", ""Mirror"", ""Light switch""], ""scene"": ""Indoor scene"", ""spatial_info"": {""toilet"": ""Left side, mounted on the wall"", ""bidet"": ""Centered below the mirror, mounted on the wall"", ""vanity"": ""Right side, against the wall"", ""mirror"": ""Above the vanity"", ""light switch"": ""On the right wall""}}, ""confidence"": 0.9448893610903418, ""recognition_status"": ""success"", ""processing_time"": 10.218957662582397}","Definition: In this task, draw tight bounding boxes around the ""Wall-mounted toilet"", ""Bidet"", and the ""Vanity with sink and drawers"".
Emphasis & Caution: -
Things to Avoid: Do not annotate the ""Mirror"" or ""Light switch""."
5644,"{""description"": ""A skateboarder performs a trick mid-air over a stone wall at sunset, with a park structure and residential area in the background."", ""details"": {""objects"": [""Skateboarder performing a trick"", ""Skateboard"", ""Stone wall"", ""Park structure"", ""Residential houses"", ""Trees"", ""Open sky""], ""scene"": ""Outdoor urban park"", ""spatial_info"": {""Skateboarder"": ""In mid-air above the stone wall"", ""Stone wall"": ""Curved and elevated"", ""Park structure"": ""Located to the right, partially open roof"", ""Residential houses"": ""In the distance on the left"", ""Trees"": ""Scattered around the park"", ""Open sky"": ""Clear with a gradient from blue to lighter tones near the horizon""}}, ""confidence"": 0.932262741941329, ""recognition_status"": ""success"", ""processing_time"": 13.424776077270508}","Definition: In this task, draw tight bounding boxes around the ""Skateboarder performing a trick"" and the ""Skateboard"".
Emphasis & Caution: Focus on the subject in mid-air above the stone wall.
Things to Avoid: Do not annotate the ""Stone wall"", ""Park structure"", ""Residential houses"", ""Trees"", or ""Open sky""."
5883,"{""description"": ""A vibrant urban street scene featuring a Hershey's chocolate store with colorful signage and a large truck crossing the intersection."", ""details"": {""objects"": [""Hershey's chocolate store"", ""large truck"", ""traffic light"", ""pedestrian crosswalk"", ""city buildings"", ""street signs"", ""billboards""], ""scene"": ""urban street"", ""spatial_info"": {""Hershey's store"": ""center-left"", ""truck"": ""bottom-left"", ""traffic light"": ""top-right"", ""pedestrian crosswalk"": ""bottom-center"", ""buildings"": ""background""}}, ""confidence"": 0.9432151131172792, ""recognition_status"": ""success"", ""processing_time"": 9.55348539352417}","Definition: In this task, draw tight bounding boxes around the ""Hershey's chocolate store"" and the ""large truck"".
Emphasis & Caution: Focus on the center-left storefront and the truck crossing the intersection.
Things to Avoid: Do not annotate the ""traffic light"", ""pedestrian crosswalk"", ""city buildings"", ""street signs"", or ""billboards""."
6182,"{""description"": ""A giraffe is walking through a grassy savanna dotted with palm trees under a hazy sky."", ""details"": {""objects"": [""giraffe"", ""palm trees"", ""grass"", ""sky""], ""scene"": ""savanna"", ""spatial_info"": {""giraffe"": ""center-right"", ""palm trees"": ""left and right sides"", ""grass"": ""foreground"", ""sky"": ""background""}}, ""confidence"": 0.96546357075689, ""recognition_status"": ""success"", ""processing_time"": 7.680129289627075}","Definition: In this task, draw tight bounding boxes around the ""giraffe"".
Emphasis & Caution: Focus on the ""giraffe"" at center-right.
Things to Avoid: Do not annotate ""palm trees"", ""grass"", or ""sky""."
6422,"{""description"": ""A close-up view of two remote controls, one partially obscured by the other, with a blurred background suggesting an indoor setting."", ""details"": {""objects"": [""Two remote controls"", ""Blurred background""], ""scene"": ""Indoor scene"", ""spatial_info"": {""remote_control_1"": ""Foreground, partially obscured by remote control 2"", ""remote_control_2"": ""Background, fully visible""}}, ""confidence"": 0.9417315054882293, ""recognition_status"": ""success"", ""processing_time"": 7.274167537689209}","Definition: In this task, draw tight bounding boxes around the ""Two remote controls"".
Emphasis & Caution: One remote is partially obscured in the foreground.
Things to Avoid: Do not annotate the ""Blurred background""."
6664,"{""description"": ""A tennis player is captured mid-action, leaning over the net with a racket in hand, appearing to be in the middle of a play."", ""details"": {""objects"": [""Tennis player"", ""Tennis racket"", ""Tennis court"", ""Net""], ""scene"": ""Outdoor tennis court"", ""spatial_info"": {""Tennis player"": ""Over the net"", ""Tennis racket"": ""In the player's hand"", ""Tennis court"": ""Visible beneath the player"", ""Net"": ""Dividing the court""}}, ""confidence"": 0.9385324331649443, ""recognition_status"": ""success"", ""processing_time"": 8.99723219871521}","Definition: In this task, draw tight bounding boxes around the ""Tennis player"" and the ""Tennis racket"".
Emphasis & Caution: Focus on the player leaning over the net.
Things to Avoid: Do not annotate the ""Tennis court"" or ""Net""."
6874,"{""description"": ""A group of giraffes and antelopes are interacting in an open, arid landscape under a clear blue sky."", ""details"": {""objects"": [""Two adult giraffes"", ""One juvenile giraffe"", ""Two antelopes"", ""Open landscape"", ""Clear blue sky"", ""Sparse vegetation""], ""scene"": ""Outdoor wildlife enclosure"", ""spatial_info"": {""giraffes"": [""left side of the image"", ""right side of the image""], ""antelopes"": [""center-right of the image""], ""landscape"": [""background""], ""sky"": [""top of the image""]}}, ""confidence"": 0.9395514779604224, ""recognition_status"": ""success"", ""processing_time"": 10.045623302459717}","Definition: In this task, draw tight bounding boxes around the ""Two adult giraffes"", the ""One juvenile giraffe"", and the ""Two antelopes"".
Emphasis & Caution: -
Things to Avoid: Do not annotate the ""Open landscape"", ""Clear blue sky"", or ""Sparse vegetation""."
7174,"{""description"": ""A vast, arid landscape featuring numerous horses in fenced areas under a backdrop of rugged mountains."", ""details"": {""objects"": [""horses"", ""fences"", ""mountains"", ""dirt ground"", ""trees"", ""power lines""], ""scene"": ""rural pasture"", ""spatial_info"": {""horses"": ""scattered across multiple fenced areas"", ""fences"": ""surrounding the horses"", ""mountains"": ""in the background"", ""trees"": ""sparse and scattered"", ""power lines"": ""running along the landscape""}}, ""confidence"": 0.932637516056677, ""recognition_status"": ""success"", ""processing_time"": 9.198876142501831}","Definition: In this task, draw tight bounding boxes around the ""horses"".
Emphasis & Caution: -
Things to Avoid: Do not annotate ""fences"", ""mountains"", ""dirt ground"", ""trees"", or ""power lines""."
7476,"{""description"": ""Two blue glass bottles flanking a vibrant green glass pitcher, creating a striking contrast against a blurred background."", ""details"": {""objects"": [""Two blue glass bottles"", ""One green glass pitcher""], ""scene"": ""Indoor scene"", ""spatial_info"": {""bottles"": [""left"", ""right""], ""pitcher"": ""center""}}, ""confidence"": 0.9591854399029317, ""recognition_status"": ""success"", ""processing_time"": 6.421213150024414}","Definition: In this task, draw tight bounding boxes around the ""Two blue glass bottles"" and the ""One green glass pitcher"".
Emphasis & Caution: Focus on the blue bottles on the sides and the green pitcher in the center.
Things to Avoid: -"
7710,"{""description"": ""A person is walking two horses on a sidewalk while pushing a bicycle, with a sign for 'glasstec' and autumn foliage in the background."", ""details"": {""objects"": [""Two horses with blankets"", ""Person wearing a blue jacket and jeans"", ""Bicycle"", ""Signboard reading 'glasstec'"", ""Autumn trees"", ""Sidewalk"", ""Road"", ""Street lamp"", ""Buildings""], ""scene"": ""Urban street"", ""spatial_info"": {""Horses"": ""On the sidewalk near the person"", ""Person"": ""Walking beside the horses"", ""Bicycle"": ""Being pushed by the person"", ""Signboard"": ""On the left side of the sidewalk"", ""Trees"": ""In the background"", ""Sidewalk"": ""Between the road and the trees"", ""Road"": ""In front of the sidewalk"", ""Street lamp"": ""Behind the signboard""}}, ""confidence"": 0.935388652318214, ""recognition_status"": ""success"", ""processing_time"": 14.888620138168335}","Definition: In this task, draw tight bounding boxes around all ""Two horses with blankets"", ""Person wearing a blue jacket and jeans"", and ""Bicycle"".
Emphasis & Caution: Focus on the ""Two horses with blankets"" on the sidewalk near the person.
Things to Avoid: Do not annotate ""Signboard reading 'glasstec'"", ""Autumn trees"", ""Sidewalk"", ""Road"", ""Street lamp"", or ""Buildings""."
7946,"{""description"": ""A woman is eating pizza at a restaurant, surrounded by other diners and a glass of dark beverage on the table."", ""details"": {""objects"": [""woman"", ""pizza"", ""fork"", ""knife"", ""plate"", ""glass"", ""dark beverage"", ""restaurant interior"", ""other diners""], ""scene"": ""indoor scene"", ""spatial_info"": {""woman"": ""center"", ""pizza"": ""in front of woman"", ""fork"": ""in woman's hand"", ""knife"": ""in woman's hand"", ""plate"": ""under pizza"", ""glass"": ""left side of image"", ""dark beverage"": ""in glass"", ""restaurant interior"": ""background"", ""other diners"": ""background""}}, ""confidence"": 0.9536484219254943, ""recognition_status"": ""success"", ""processing_time"": 11.563989639282227}","Definition: In this task, draw tight bounding boxes around the ""woman"".
Emphasis & Caution: -
Things to Avoid: Do not annotate ""pizza"", ""fork"", ""knife"", ""plate"", ""glass"", ""dark beverage"", ""restaurant interior"", or ""other diners""."
8190,"{""description"": ""A surfer rides a wave on a surfboard amidst the ocean's dynamic motion."", ""details"": {""objects"": [""surfer"", ""surfboard"", ""ocean waves""], ""scene"": ""ocean"", ""spatial_info"": {""surfer"": ""mid-air, leaning forward on surfboard"", ""surfboard"": ""positioned under the surfer, cutting through the water"", ""ocean waves"": ""large, foamy waves surrounding the surfer""}}, ""confidence"": 0.9352293292778247, ""recognition_status"": ""success"", ""processing_time"": 8.02764892578125}","Definition: In this task, draw tight bounding boxes around the ""surfer"".
Emphasis & Caution: -
Things to Avoid: Do not annotate ""ocean waves""."
8432,"{""description"": ""A bustling industrial workshop filled with workers assembling aircraft, showcasing a busy manufacturing environment."", ""details"": {""objects"": [""workers"", ""aircraft parts"", ""workbenches"", ""ladders"", ""tools"", ""wooden beams"", ""metal structures""], ""scene"": ""industrial workshop"", ""spatial_info"": {""workers"": [""standing"", ""working on aircraft""], ""aircraft parts"": [""assembled"", ""in various stages""], ""workbenches"": [""aligned along the walls""], ""ladders"": [""placed near work areas""], ""tools"": [""scattered around the workspace""], ""wooden beams"": [""supporting the ceiling""], ""metal structures"": [""forming the framework of the workshop""]}}, ""confidence"": 0.9256281258820103, ""recognition_status"": ""success"", ""processing_time"": 11.538466453552246}","Definition: In this task, draw tight bounding boxes around all ""workers"".
Emphasis & Caution: -
Things to Avoid: Do not annotate ""aircraft parts"", ""workbenches"", ""ladders"", ""tools"", ""wooden beams"", or ""metal structures""."
8647,"{""description"": ""A vibrant urban street scene featuring colorful shops, pedestrians, and lush greenery under a bright sky."", ""details"": {""objects"": [""colorful shops"", ""pedestrians"", ""trees"", ""buildings"", ""signboards"", ""street""], ""scene"": ""urban street"", ""spatial_info"": {""shops"": ""left side"", ""pedestrians"": ""center and right"", ""trees"": ""right side"", ""buildings"": ""background"", ""signboards"": ""above shops""}}, ""confidence"": 0.9537774668326395, ""recognition_status"": ""success"", ""processing_time"": 8.7515127658844}","Definition: In this task, draw tight bounding boxes around all ""pedestrians"".
Emphasis & Caution: -
Things to Avoid: Do not annotate ""colorful shops"", ""trees"", ""buildings"", ""signboards"", or ""street""."
8853,"{""description"": ""A skier descends a snowy mountain slope under a clear blue sky, surrounded by rugged peaks."", ""details"": {""objects"": [""Skier wearing yellow jacket"", ""Ski poles"", ""Snow-covered mountain"", ""Rocky outcrops"", ""Clear blue sky""], ""scene"": ""Outdoor winter landscape"", ""spatial_info"": {""skier"": ""Center-left"", ""mountain"": ""Background"", ""sky"": ""Top of the image""}}, ""confidence"": 0.9491459199553172, ""recognition_status"": ""success"", ""processing_time"": 7.928240776062012}","Definition: In this task, draw tight bounding boxes around the ""Skier wearing yellow jacket"".
Emphasis & Caution: Focus on the ""yellow jacket"".
Things to Avoid: Do not annotate ""Snow-covered mountain"", ""Rocky outcrops"", or ""Clear blue sky""."
