Header,Description,Instruction
2471,"{""description"": ""A calico cat stands on a brown table next to an empty Coca-Cola Zero bottle, with sunlight casting shadows on the wall behind."", ""details"": {""objects"": [""calico cat"", ""Coca-Cola Zero bottle"", ""brown table"", ""wall"", ""chair""], ""scene"": ""indoor scene"", ""spatial_info"": {""cat"": ""standing on the table, facing left"", ""bottle"": ""on the table, to the left of the cat"", ""table"": ""brown, with paw print designs, occupies the foreground"", ""wall"": ""behind the cat, with sunlight casting shadows"", ""chair"": ""partially visible behind the cat on the right""}}}","Definition: In this task, draw bounding boxes around the calico cat and the Coca-Cola Zero bottle.
Emphasis & Caution: calico cat standing on the table facing left; Coca-Cola Zero bottle on the table to the left of the cat.
Things to Avoid: brown table, wall, chair, sunlight shadows."
2742,"{""description"": ""Two pizza chefs are working in a pizzeria, with freshly baked pizzas on plates and a large brick oven in the background."", ""details"": {""objects"": [""pizza chefs"", ""pizzas"", ""pizza oven"", ""plates"", ""bowls"", ""containers"", ""utensils""], ""scene"": ""indoor scene"", ""spatial_info"": {""pizza chefs"": [""left side of image, wearing red scarf and white shirt"", ""right side of image, wearing dark shirt""], ""pizzas"": [""on plates in the foreground, one with tomato sauce and basil"", ""on a tray near the oven, one with cheese and tomato sauce""], ""pizza oven"": [""center background, large, round, golden dome""], ""plates"": [""stacked in the foreground, colorful with white center""], ""bowls"": [""on the left, metal bowl with food inside""], ""containers"": [""white plastic containers on the counter""]}}}","Definition: In this task, draw bounding boxes around pizza chefs and pizzas.
Emphasis & Caution: pizza chefs (left side wearing red scarf and white shirt; right side wearing dark shirt); pizzas (on plates in the foreground; on a tray near the oven).
Things to Avoid: pizza oven, plates, bowls, containers, utensils."
3076,"{""description"": ""A snowy winter scene featuring two horses harnessed to sleds, standing among snow-covered birch trees with wooden cabins in the background."", ""details"": {""objects"": [""horses"", ""sleds"", ""birch trees"", ""wooden cabins"", ""snow"", ""ropes and harnesses""], ""scene"": ""winter forest"", ""spatial_info"": {""horses"": [{""position"": ""center foreground"", ""description"": ""A brown horse with a white mane, harnessed to a sled, facing the camera.""}, {""position"": ""background to the left"", ""description"": ""A white horse, partially visible, harnessed to a sled behind the first horse.""}], ""sleds"": [{""position"": ""center foreground"", ""description"": ""A sled attached to the brown horse in the foreground.""}, {""position"": ""background to the left"", ""description"": ""A sled attached to the white horse.""}], ""birch trees"": [{""position"": ""left side"", ""description"": ""A prominent birch tree with white bark and snow on its branches.""}, {""position"": ""right side"", ""description"": ""Another birch tree with snow-covered branches, near the foreground.""}], ""wooden cabins"": [{""position"": ""background"", ""description"": ""Several rustic wooden cabins with snow on their roofs, partially obscured by trees.""}], ""snow"": {""position"": ""ground and tree branches"", ""description"": ""Deep snow covers the ground and branches of the trees.""}}}}","Definition: In this task, draw bounding boxes around the horses and sleds.
Emphasis & Caution: Brown horse with white mane in center foreground; white horse in background to the left; each horse harnessed to a sled.
Things to Avoid: birch trees, wooden cabins, snow, ropes and harnesses."
3353,"{""description"": ""A black-and-white photo of a cat sleeping peacefully on a person's lap while they sit on a couch, with a coffee table in the background holding various items."", ""details"": {""objects"": [""cat"", ""person"", ""couch"", ""coffee table"", ""laptop"", ""cups"", ""bottles"", ""remote control"", ""pillow"", ""blanket""], ""scene"": ""indoor scene"", ""spatial_info"": {""cat"": ""sleeping on the person's lap"", ""person"": ""sitting on a couch with the cat on their lap"", ""coffee table"": ""in front of the person, holding various items"", ""laptop"": ""on the coffee table"", ""cups and bottles"": ""on the coffee table"", ""remote control"": ""on the coffee table"", ""pillow and blanket"": ""on the couch near the person""}}}","Definition: In this task, draw bounding boxes around the cat and person.
Emphasis & Caution: Cat sleeping on the person's lap; person sitting on a couch.
Things to Avoid: couch, coffee table, laptop, cups, bottles, remote control, pillow, blanket."
3693,"{""description"": ""A group of young people, mostly focused on their phones, stand in an urban indoor space with graffiti-covered walls and large windows."", ""details"": {""objects"": [""young man in gray t-shirt and black shorts"", ""young woman in white t-shirt and denim skirt"", ""three other young people in the background"", ""graffiti wall"", ""large windows"", ""concrete floor"", ""stairs""], ""scene"": ""indoor urban scene"", ""spatial_info"": {""young man"": ""center foreground, looking down at his phone"", ""young woman"": ""right side, walking and looking at her phone"", ""three others"": ""background, standing near the wall"", ""graffiti wall"": ""right side of the image"", ""windows"": ""left side of the image"", ""stairs"": ""right side, near the graffiti wall""}}}","Definition: In this task, draw bounding boxes around the young man in gray t-shirt and black shorts, the young woman in white t-shirt and denim skirt, and the three other young people in the background.
Emphasis & Caution: Center foreground young man looking down at his phone; right side young woman walking and looking at her phone; three others standing near the wall in the background.
Things to Avoid: graffiti wall, large windows, concrete floor, stairs."
3941,"{""description"": ""A close-up of a street sign reading 'RAMSAY ST' mounted on a weathered metal pole, with green foliage and a building in the background."", ""details"": {""objects"": [""street sign"", ""metal pole"", ""trees"", ""building""], ""scene"": ""urban street"", ""spatial_info"": {""street sign"": ""centered in the frame, angled slightly downward"", ""metal pole"": ""vertical, supporting the sign on the right side of the image"", ""trees"": ""in the background, behind the sign and pole, with green leaves"", ""building"": ""partially visible behind the trees in the background""}}}","Definition: In this task, draw bounding boxes around the street sign and metal pole.
Emphasis & Caution: street sign centered and angled slightly downward; metal pole vertical on the right side.
Things to Avoid: trees, building."
4239,"{""description"": ""A snowboarder in a tan jacket and black pants is carving down a snowy slope, with sunlight casting long shadows and a red ski pole visible in the background."", ""details"": {""objects"": [""snowboarder"", ""snowboard"", ""snow"", ""red ski pole"", ""gloves"", ""helmet""], ""scene"": ""snowy slope"", ""spatial_info"": {""snowboarder"": ""center-left of image, leaning into a turn"", ""snowboard"": ""underneath the snowboarder, angled as they carve"", ""red ski pole"": ""top-right corner of image, partially visible"", ""snow"": ""covers entire ground, with tracks and shadows"", ""gloves"": ""on the snowboarder's hands, one extended for balance"", ""helmet"": ""worn by the snowboarder, visible on head""}}}","Definition: In this task, draw bounding boxes around the snowboarder, snowboard, gloves, and helmet.
Emphasis & Caution: Snowboarder at center-left leaning into a turn; tan jacket and black pants; snowboard underneath and angled; gloves extended; helmet on head.
Things to Avoid: snow, red ski pole."
4477,"{""description"": ""A close-up of an elephant with its trunk raised, set against a backdrop of green foliage and another elephant in the distance."", ""details"": {""objects"": [""elephant"", ""tree foliage"", ""another elephant (in background)""], ""scene"": ""outdoor natural scene"", ""spatial_info"": {""elephant"": ""foreground, centered, facing right"", ""tree foliage"": ""background, behind the elephant"", ""another elephant"": ""background, right side, partially obscured""}}}","Definition: In this task, draw bounding boxes around the elephant in the foreground.
Emphasis & Caution: Foreground, centered, trunk raised, facing right.
Things to Avoid: tree foliage; another elephant (in background)."
4714,"{""description"": ""A man is playing an acoustic guitar and singing while a group of people sit on the floor and couches, watching him in a cozy, warmly lit living room."", ""details"": {""objects"": [""man playing guitar"", ""acoustic guitar"", ""fireplace"", ""mirror"", ""clock"", ""TV"", ""people sitting"", ""guitar case"", ""candles"", ""speaker"", ""chairs"", ""bowl of candy""], ""scene"": ""indoor scene"", ""spatial_info"": {""man playing guitar"": ""standing on the left side of the image, holding a guitar"", ""fireplace"": ""centered on the back wall, below a mirror"", ""mirror"": ""hanging above the fireplace, reflecting the room"", ""clock"": ""on the right wall, above the TV"", ""TV"": ""on the right wall, below the clock"", ""people sitting"": ""seated on the floor and couches on the right side of the image, facing the guitarist"", ""guitar case"": ""on the floor in front of the fireplace"", ""candles"": ""on the mantel above the fireplace"", ""speaker"": ""on the floor to the left of the fireplace"", ""bowl of candy"": ""on a couch in the bottom right corner""}}}","Definition: In this task, draw bounding boxes around the man playing guitar, acoustic guitar, and people sitting.
Emphasis & Caution: man playing guitar standing on the left side holding the acoustic guitar; people sitting on the right side facing the guitarist.
Things to Avoid: fireplace, mirror, clock, TV, guitar case, candles, speaker, chairs, bowl of candy."
4979,"{""description"": ""A large red chair sculpture with a painted horse standing on its seat, set outdoors in front of a modern building with large windows."", ""details"": {""objects"": [""red chair sculpture"", ""painted horse"", ""modern building"", ""trees"", ""grass""], ""scene"": ""outdoor urban scene"", ""spatial_info"": {""red chair sculpture"": ""center of the image, positioned in front of the building"", ""painted horse"": ""standing on the seat of the red chair sculpture"", ""modern building"": ""in the background, behind the sculpture"", ""trees"": ""on the left and right sides of the image, partially framing the scene"", ""grass"": ""at the bottom of the image, in front of the sculpture""}}}","Definition: In this task, draw bounding boxes around the red chair sculpture and the painted horse.
Emphasis & Caution: Large red chair sculpture at the center; painted horse standing on the seat of the red chair sculpture.
Things to Avoid: modern building, trees, grass."
5198,"{""description"": ""A family of four, including two adults and two children, are riding on a motorcycle, all wearing helmets, with a backdrop of flowering bushes and buildings."", ""details"": {""objects"": [""adult wearing a blue helmet and beige jacket"", ""adult wearing a blue helmet and pink shirt"", ""child wearing an orange hoodie"", ""child wearing a red jacket"", ""motorcycle"", ""helmet"", ""flowering bushes"", ""buildings""], ""scene"": ""urban street"", ""spatial_info"": {""adult in beige jacket"": ""front center, holding the child in orange hoodie"", ""adult in pink shirt"": ""right side, holding the child in orange hoodie"", ""child in orange hoodie"": ""between the two adults, seated on the back"", ""child in red jacket"": ""left side, seated in front of the adult in beige jacket"", ""motorcycle"": ""occupying the foreground, with riders on it"", ""flowering bushes"": ""background, behind the riders"", ""buildings"": ""background, behind the flowering bushes""}}}","Definition: In this task, draw bounding boxes around adult wearing a blue helmet and beige jacket, adult wearing a blue helmet and pink shirt, child wearing an orange hoodie, child wearing a red jacket, and motorcycle.
Emphasis & Caution: Use helmet colors (blue) and clothing colors (beige jacket, pink shirt, orange hoodie, red jacket) and their front center/left/right positions to distinguish each person.
Things to Avoid: Do not draw bounding boxes around flowering bushes, buildings, or helmet."
5412,"{""description"": ""A modern, minimalist bathroom with beige walls, dark flooring, and white fixtures including a wall-mounted toilet, bidet, and sink with a floating vanity."", ""details"": {""objects"": [""wall-mounted toilet"", ""bidet"", ""sink"", ""vanity cabinet"", ""faucet"", ""wall-mounted flush plate"", ""shelves"", ""light switch""], ""scene"": ""indoor scene"", ""spatial_info"": {""wall-mounted toilet"": ""on the left side of the image, mounted to the wall"", ""bidet"": ""center-left, positioned between the toilet and sink"", ""sink"": ""on the right side, mounted on top of the vanity"", ""vanity cabinet"": ""on the right side, under the sink"", ""faucet"": ""above the sink, centered"", ""wall-mounted flush plate"": ""on the wall above the toilet"", ""shelves"": ""built into the wall above the bidet, between the toilet and sink"", ""light switch"": ""on the right wall, near the vanity""}}}","Definition: In this task, draw bounding boxes around wall-mounted toilet, bidet, sink, vanity cabinet, faucet, and wall-mounted flush plate.
Emphasis & Caution: Wall-mounted toilet on the left; bidet center-left between toilet and sink; sink and vanity cabinet on the right; wall-mounted flush plate above the toilet.
Things to Avoid: shelves, light switch, beige walls, dark flooring."
5644,"{""description"": ""A skateboarder in a red jacket performs an aerial trick above a stone ledge in a park-like urban setting during sunset."", ""details"": {""objects"": [""skateboarder"", ""skateboard"", ""stone ledge"", ""metal rail"", ""covered pavilion"", ""trees"", ""houses"", ""mulch bed"", ""pavement""], ""scene"": ""urban park"", ""spatial_info"": {""skateboarder"": ""mid-air, above the stone ledge, slightly left of center"", ""skateboard"": ""under the skateboarder, also mid-air, below the rider"", ""stone ledge"": ""in the foreground, running horizontally across the lower right"", ""metal rail"": ""on the left side, behind the skateboarder"", ""covered pavilion"": ""in the upper right background"", ""trees"": ""in the mid-ground and background, behind the skateboarder"", ""houses"": ""in the far background, behind the trees"", ""mulch bed"": ""in the foreground, between the pavement and stone ledge"", ""pavement"": ""in the lower left, extending from the foreground to mid-ground""}}}","Definition: In this task, draw bounding boxes around the skateboarder and skateboard.
Emphasis & Caution: skateboarder mid-air slightly left of center; skateboard directly under the skateboarder; red jacket.
Things to Avoid: stone ledge, metal rail, covered pavilion, trees, houses, mulch bed, pavement."
5883,"{""description"": ""A vintage black semi-truck is parked on a busy urban street in front of a large, brightly lit Hershey's chocolate store with multiple brand signs, including Reese's and Rowne Plaza Hotel, under a clear sky."", ""details"": {""objects"": [""vintage black semi-truck"", ""Hershey's chocolate store"", ""Reese's sign"", ""Rowne Plaza Hotel sign"", ""traffic lights"", ""bus"", ""buildings"", ""street"", ""crosswalk""], ""scene"": ""urban street"", ""spatial_info"": {""vintage black semi-truck"": ""in the foreground, parked on the street"", ""Hershey's chocolate store"": ""in the background, dominating the center of the image"", ""Reese's sign"": ""on the upper left side of the Hershey's store"", ""Rowne Plaza Hotel sign"": ""on the upper right side of the Hershey's store"", ""traffic lights"": ""on the right side of the image, above the street"", ""bus"": ""on the right side of the image, behind the truck"", ""buildings"": ""surrounding the street, forming the urban backdrop"", ""street"": ""in the foreground and middle ground, with a crosswalk visible""}}}","Definition: In this task, draw bounding boxes around the vintage black semi-truck and the bus.
Emphasis & Caution: vintage black semi-truck in the foreground; bus on the right side behind the truck.
Things to Avoid: Hershey's chocolate store, Reese's sign, Rowne Plaza Hotel sign, traffic lights, buildings, street, crosswalk."
6182,"{""description"": ""A giraffe walks gracefully through a savanna dotted with palm trees under a soft, hazy sky."", ""details"": {""objects"": [""giraffe"", ""palm trees"", ""grassland"", ""distant vegetation""], ""scene"": ""savanna"", ""spatial_info"": {""giraffe"": ""center-right of the frame, walking from left to right"", ""palm trees"": ""scattered throughout the background and mid-ground, with some clustered on the left and right"", ""grassland"": ""covers the entire foreground and mid-ground""}}}","Definition: In this task, draw bounding boxes around the giraffe.
Emphasis & Caution: giraffe at center-right of the frame, walking from left to right.
Things to Avoid: palm trees, grassland, distant vegetation."
6422,"{""description"": ""A close-up shot of two remote controls stacked on top of each other, with the top one being black and the bottom one beige, both featuring various buttons."", ""details"": {""objects"": [""black remote control"", ""beige remote control"", ""buttons"", ""red fabric surface""], ""scene"": ""indoor scene"", ""spatial_info"": {""black_remote"": ""on top of the beige remote, positioned horizontally"", ""beige_remote"": ""at the bottom, partially visible, resting on a red fabric surface"", ""buttons"": ""visible on both remotes, with the black remote having colorful buttons and the beige remote having darker buttons"", ""red_fabric_surface"": ""underneath the beige remote, visible at the bottom of the image""}}}","Definition: In this task, draw bounding boxes around the black remote control and the beige remote control.
Emphasis & Caution: Black remote control on top (horizontal); beige remote control partially visible underneath on a red fabric surface.
Things to Avoid: buttons, red fabric surface."
6664,"{""description"": ""A male tennis player is captured mid-action, diving low to the ground near the net while holding a racket and shouting with intensity."", ""details"": {""objects"": [""male tennis player"", ""tennis racket"", ""tennis net"", ""white t-shirt"", ""blue shorts"", ""white socks"", ""white sneakers""], ""scene"": ""outdoor tennis court"", ""spatial_info"": {""tennis player"": ""diving horizontally near the net, body extended, left leg bent, right arm holding racket"", ""tennis racket"": ""held in right hand, positioned near the net, strings visible"", ""tennis net"": ""horizontal in the foreground, separating the player from the background"", ""background"": ""out of focus, appears to be a wooden fence or wall""}}}","Definition: In this task, draw bounding boxes around the male tennis player and the tennis racket.
Emphasis & Caution: Diving horizontally near the net; white t-shirt, blue shorts; tennis racket held in right hand.
Things to Avoid: tennis net; out of focus wooden fence or wall."
6874,"{""description"": ""A group of giraffes and an antelope are standing together in a dry, open savanna-like environment under a clear blue sky."", ""details"": {""objects"": [""giraffe"", ""giraffe calf"", ""antelope"", ""barbed wire fence"", ""tree"", ""building structure""], ""scene"": ""outdoor savanna"", ""spatial_info"": {""giraffe"": [{""position"": ""left side of image"", ""orientation"": ""facing right"", ""size"": ""adult""}, {""position"": ""right side of image"", ""orientation"": ""facing left"", ""size"": ""adult""}], ""giraffe_calf"": {""position"": ""center, between two adult giraffes"", ""orientation"": ""facing away from camera""}, ""antelope"": {""position"": ""bottom right, partially obscured by giraffe"", ""orientation"": ""facing right""}, ""barbed_wire_fence"": {""position"": ""background, behind giraffes"", ""description"": ""running horizontally across the mid-ground""}, ""tree"": {""position"": ""background, scattered across horizon"", ""description"": ""green foliage against blue sky""}, ""building_structure"": {""position"": ""top right corner"", ""description"": ""metal structure with bars, possibly a shelter or enclosure""}}}}","Definition: In this task, draw bounding boxes around giraffe, giraffe calf, and antelope.
Emphasis & Caution: giraffe calf in center between two adult giraffes; antelope at bottom right partially obscured; two adult giraffes on left and right.
Things to Avoid: barbed wire fence, tree, building structure."
7174,"{""description"": ""A vast, fenced ranch with numerous horses grazing and standing in corrals, set against a backdrop of arid, rolling mountains under a clear blue sky."", ""details"": {""objects"": [""horses"", ""fences"", ""corrals"", ""mountains"", ""sky"", ""utility poles"", ""buildings""], ""scene"": ""ranch landscape"", ""spatial_info"": {""horses"": ""scattered throughout the foreground and midground, within fenced enclosures"", ""fences"": ""extending across the entire foreground and midground, forming multiple corrals"", ""mountains"": ""dominating the background, stretching across the horizon"", ""sky"": ""clear and blue, above the mountains and ranch"", ""utility poles"": ""sparsely placed along the fences in the midground"", ""buildings"": ""visible in the distance, nestled among the mountains""}}}","Definition: In this task, draw bounding boxes around all horses scattered throughout the foreground and midground within fenced enclosures.
Emphasis & Caution: Multiple horses; located inside corrals in the foreground and midground.
Things to Avoid: Do not annotate fences, corrals, mountains, sky, utility poles, or buildings."
7476,"{""description"": ""Two blue glass bottles and a green glass vase are arranged closely together, illuminated by colorful ambient lighting that creates a vibrant, artistic composition."", ""details"": {""objects"": [""blue glass bottle"", ""blue glass bottle"", ""green glass vase""], ""scene"": ""indoor scene"", ""spatial_info"": {""blue_bottle_left"": ""on the left side of the image, positioned in front"", ""blue_bottle_right"": ""on the right side of the image, positioned in front"", ""green_vase"": ""centered between the two blue bottles, slightly behind them""}}}","Definition: In this task, draw bounding boxes around the blue glass bottle, blue glass bottle, and green glass vase.
Emphasis & Caution: Two blue glass bottle objects in front (left and right); green glass vase centered between them, slightly behind; colorful ambient lighting.
Things to Avoid: indoor scene background elements and lighting effects."
7710,"{""description"": ""A man rides a bicycle past two horses on a sidewalk next to a road, with signs indicating a 'glasstec' event and a pedestrian crossing ahead."", ""details"": {""objects"": [""man on bicycle"", ""two horses"", ""pedestrian crossing sign"", ""glasstec welcome sign"", ""trees"", ""road"", ""sidewalk"", ""fence""], ""scene"": ""urban street"", ""spatial_info"": {""man on bicycle"": ""on the right side of the image, riding on the sidewalk"", ""two horses"": ""on the sidewalk, to the left of the cyclist, one wearing a blanket"", ""pedestrian crossing sign"": ""on the left side of the image, mounted on a pole"", ""glasstec welcome sign"": ""on the left side of the image, on a white post"", ""trees"": ""in the background and along the sidewalk"", ""road"": ""in the foreground, running horizontally across the bottom of the image"", ""sidewalk"": ""between the road and the trees, where the man and horses are located"", ""fence"": ""behind the horses and trees, in the background""}}}","Definition: In this task, draw bounding boxes around the man on bicycle and two horses.
Emphasis & Caution: Man on bicycle on the right side riding on the sidewalk; two horses on the left side on the sidewalk, one wearing a blanket.
Things to Avoid: pedestrian crossing sign, glasstec welcome sign, trees, road, sidewalk, fence."
